Image Number,URL,Alt Text,Title,File Extension,File Size,Resolution,Status,Error Message
1,https://www.pothys.com/cdn/shop/files/600x743.jpg?v=1743414000&width=300,None,None (srcset variant),.jpg,37.53 KB,300x372,Success,
2,https://www.pothys.com/cdn/shop/files/03_476d0f3a-3cc9-4454-8e56-3b6cb026338f.jpg?v=1743414077&width=300,None,None (srcset variant),.jpg,39.61 KB,300x372,Success,
3,https://www.pothys.com/cdn/shop/files/03_476d0f3a-3cc9-4454-8e56-3b6cb026338f.jpg?v=1743414077&width=200,None,None (srcset variant),.jpg,20.49 KB,200x248,Success,
4,https://www.pothys.com/cdn/shop/files/600x743.jpg?v=1743414000&width=500,None,None (srcset variant),.jpg,80.47 KB,500x619,Success,
5,https://www.pothys.com/cdn/shop/files/03_476d0f3a-3cc9-4454-8e56-3b6cb026338f.jpg?v=1743414077&width=400,None,None (srcset variant),.jpg,61.12 KB,400x495,Success,
6,https://www.pothys.com/cdn/shop/files/Pure_Silks.jpg?v=1736227840&width=300,None,None (srcset variant),.jpg,28.52 KB,300x372,Success,
7,https://www.pothys.com/cdn/shop/files/Pure_Silks.jpg?v=1736227840&width=400,None,None (srcset variant),.jpg,48.42 KB,400x495,Success,
8,https://www.pothys.com/cdn/shop/files/03_476d0f3a-3cc9-4454-8e56-3b6cb026338f.jpg?v=1743414077&width=500,None,None (srcset variant),.jpg,87.10 KB,500x619,Success,
9,https://www.pothys.com/cdn/shop/files/Pure_Silks.jpg?v=1736227840&width=200,None,None (srcset variant),.jpg,13.89 KB,200x248,Success,
10,https://www.pothys.com/cdn/shop/files/600x743.jpg?v=1743414000&width=600,None,None,.jpg,89.88 KB,600x743,Success,
11,https://www.pothys.com/cdn/shop/files/Approved-3_1.jpg?v=1743507748&width=200,None,None (srcset variant),.jpg,16.64 KB,200x248,Success,
12,https://www.pothys.com/cdn/shop/files/Approved-3_1.jpg?v=1743507748&width=600,None,None,.jpg,90.03 KB,600x743,Success,
13,https://www.pothys.com/cdn/shop/files/Pure_Silks.jpg?v=1736227840&width=600,None,None,.jpg,90.32 KB,600x743,Success,
14,https://www.pothys.com/cdn/shop/files/600x743.jpg?v=1743414000&width=400,None,None (srcset variant),.jpg,56.21 KB,400x495,Success,
15,https://www.pothys.com/cdn/shop/files/Approved-3_1.jpg?v=1743507748&width=300,None,None (srcset variant),.jpg,31.62 KB,300x372,Success,
